customer_key,customer_name,customer_address,nation_key,phone_number,account_balance,market_segment,comments
1,Justin Lester,"136 Matthew Drives
Wintersfort, MH 78757",7,+1-921-787-0286x44703,3377.61,Segment_C,Certain stuff policy art beyond message.
2,Sarah Berg,"4693 Wright Expressway
Mccoyville, HI 94015",12,001-737-348-2575x99820,7448.79,Segment_B,Thing president daughter you.
3,Morgan Montgomery,"443 Brendan Ways
Ruizton, FM 95317",8,001-763-653-4089x8644,5180.36,Segment_A,Individual could sea loss member suggest simply.
4,Dustin Mullen,"Unit 2512 Box 7054
DPO AA 73338",20,+1-655-355-6816x7354,2860.37,Segment_C,Under almost woman society term staff.
5,Heidi Evans,"0497 Brandon Path Suite 742
North Matthewtown, DC 84617",6,+1-983-965-4143x396,1884.36,Segment_C,For produce middle capital million sing.
6,Tina Jackson,"88903 Allen Station Apt. 128
Lindaport, MS 57165",9,001-508-732-5379,390.08,Segment_C,None view seek grow truth individual bar.
7,Edward Mills,"329 Pamela Burgs
New Peter, MN 93485",2,+1-492-370-3493x7654,5398.06,Segment_A,Race interview popular age.
8,Kimberly Terry,"68177 Eric Burgs
Johnview, NC 34909",18,645-985-4642,2798.56,Segment_A,Their significant sometimes people.
9,Janet James,"6850 Jennifer Station Apt. 070
West Miguel, NY 07716",18,981.836.8353x609,8685.22,Segment_B,Person key skill those theory travel throw.
10,Michael Clark,"52679 Carter Roads
South Amyborough, NM 66328",15,001-642-243-9915x25433,2590.39,Segment_A,Summer whose local million social center.
11,Michael Rodriguez,"3063 Cox Road Apt. 864
Port Nicole, MH 33620",6,+1-380-414-4429x326,7725.95,Segment_A,Land someone south professor.
12,Sandra Rush,"4568 Christina Inlet
East Michaelberg, NH 43557",20,9366672571,1980.43,Segment_C,Miss affect enter more consider.
13,Colin Lewis,"2744 Wayne Junction
Lake Amberfort, IL 56643",9,2033418514,8876.14,Segment_B,Character organization practice her company style over accept.
14,Alexander Huff,"488 Gray Shoal
Joshuafort, MA 26226",16,+1-370-548-7678x976,9404.7,Segment_A,Suddenly radio specific bad machine degree.
15,Patricia Haynes,"5459 Brady Springs Apt. 639
Port Biancaville, HI 14910",18,982-908-4044x065,7604.31,Segment_C,Alone western employee small meet.
16,Rachel James,"753 Griffin Crescent Suite 608
Pearsonport, MT 05487",4,(438)662-8584x96732,5635.76,Segment_A,Time cold information draw.
17,Kaitlyn White,"918 Jason Mills
Alexishaven, DE 82283",16,+1-362-556-1258x94653,260.78,Segment_C,Impact lot trade smile.
18,Gregory Jackson,"PSC 1456, Box 1995
APO AP 25186",7,+1-408-406-0030x846,8001.17,Segment_B,Data upon sit about do yet feeling sing.
19,Ryan Buck,"096 Lisa Island
East Brandonfort, NE 87780",19,+1-345-759-6566x558,4366.72,Segment_C,White above lawyer goal.
20,Jose Michael,"USS Holder
FPO AE 35308",13,+1-919-583-9716x7951,6744.03,Segment_B,Book situation program song off sister and.
21,Jenna Floyd MD,"464 Stephanie Crossroad
West Emily, OR 05440",5,(303)249-8053,406.98,Segment_C,Everyone have seven color key same.
22,Amber Sullivan,"4034 Adrian Cliff
East Angela, WI 38118",13,+1-397-724-7919,5597.43,Segment_C,Perhaps modern first one.
23,Andrea Silva,"2064 Keith Alley Apt. 401
Bradleyberg, OR 74886",2,001-420-909-9807x99086,8468.39,Segment_C,Public front add test within far down.
24,James Murray,"3867 Colin Harbor
Kyleville, MI 66784",19,+1-479-516-1572,2244.59,Segment_B,Today leader call player middle message thank.
25,Margaret Roberts,"174 Kelly Cliffs Apt. 576
Danielport, GU 26492",3,885.902.2542,5843.49,Segment_A,Check above international marriage leave various.
26,Steven Valdez,"0190 Frederick Streets Suite 468
Brandonberg, VA 72915",1,265.665.7039,4092.89,Segment_A,Sport sister spring raise sign.
27,David Baker,"2189 Hayden Row
West Adam, FM 88008",1,(535)330-3487x9733,4186.21,Segment_B,Baby single world lay job even.
28,Raymond Wilson,"096 Julia Lodge
Port Jameschester, OH 61829",11,+1-240-559-6065x54996,9803.88,Segment_C,Rest religious nature serious hold off economic center.
29,Patrick Massey,"765 Bradley Hills
New Craigchester, IN 47552",18,820.365.0776,7755.08,Segment_B,Never chair behind choose leave do along their.
30,Jason Parrish,"161 Moore Walk Apt. 813
Port Andrew, PR 34058",19,(520)948-5634x947,8001.75,Segment_C,Idea serious heart mention.
31,Jordan Koch,"4484 Christian River
North Andrew, OH 28484",20,(513)501-5742x41109,4012.65,Segment_B,Nation left imagine audience rich information live.
32,Nancy Dorsey,"Unit 2612 Box 2137
DPO AA 18794",16,5192454508,1344.18,Segment_B,Time stock model against.
33,Andrew Castillo,"4668 Simmons Extension Suite 842
Lake Gabrielchester, NH 78118",7,(301)648-7844x92708,7087.45,Segment_C,Name foot sometimes.
34,Christine Shields,"8129 Justin Common Apt. 558
West Michael, SD 80408",11,934-228-6470x6921,4296.69,Segment_C,Policy report tell action magazine week point.
35,Jonathan Gomez,"6481 Amanda Tunnel Suite 694
Christinabury, WA 35494",15,(937)871-4865,4767.78,Segment_C,Summer worry various group building service.
36,Angel Moody,"1956 Allen Locks
Port Lisastad, WV 47411",1,(592)494-7242x915,3900.54,Segment_C,Share there section maintain.
37,Kevin Welch,"450 Daniels Mountain
Reidton, CT 73037",4,865-588-3718,7461.79,Segment_B,Sure start I improve international among peace coach.
38,Kimberly Buchanan,"64895 Mathew Port Suite 261
Simmonsmouth, HI 18797",8,2019038824,1977.14,Segment_B,Little spring can low local up share.
39,Raymond Cooper,"5160 Joel Avenue Apt. 954
East Richard, OR 63688",10,4824483233,1668.91,Segment_B,Speak number common instead.
40,Kayla Cole,"24828 Dave Fall Suite 391
Garciaview, VI 88779",18,+1-337-638-2531,6987.18,Segment_C,Black young green moment positive three.
41,Kristen Chavez,"5707 David Centers
Port Aliciaton, SC 61874",4,(520)965-6273,7452.71,Segment_A,Individual mouth price still hold house debate.
42,Michael Scott,"94663 Sara Run
Thomasborough, SC 95921",9,592.864.2435x8539,7853.91,Segment_B,Executive think character into but half.
43,Barry Chavez,"1977 Regina Dale
New Mark, MO 62504",13,001-467-808-0522x686,2214.05,Segment_C,Break ready figure produce receive data bag.
44,Robert Green,"9464 Jessica Estates
Ronaldville, ID 99806",12,001-777-943-1506,5015.4,Segment_B,Writer herself just professor.
45,Richard Frazier,"22840 Randall Dam
Doughertyfort, NH 67139",3,001-417-840-4414x69285,3056.81,Segment_C,Leave against put institution recently eat.
46,Krystal Vazquez,"2228 Rebecca Lodge
Melindaland, NE 72994",11,(335)276-6510x8138,4004.58,Segment_C,Because positive these both interesting read outside economic.
47,Brett Lin,"8248 Alfred Causeway Suite 970
Port Thomas, VA 59719",19,+1-738-465-6942x477,6897.85,Segment_B,Even I test which establish.
48,Lindsey Erickson MD,"89454 Melissa Spring
South Tracy, PR 72939",14,(266)802-5985x586,5532.94,Segment_B,Deep happy include total next believe.
49,Debra Alvarez,"11804 Martin Highway Suite 946
Lake Miguelshire, NH 49886",15,+1-242-673-4687x767,644.22,Segment_C,Property worry start despite peace.
50,Angela Ramsey,"6579 David Corner Apt. 947
Port Mathewburgh, RI 24089",17,+1-498-277-6963x92402,3802.15,Segment_A,Compare specific six glass security.
51,Vincent Kane,"272 Harris Well Apt. 159
New Lori, WY 97410",12,8424240632,4575.43,Segment_C,Quickly she often hand wrong mind.
52,Jason Gill,"22103 Reynolds Tunnel Suite 729
South Nicoleside, OK 05893",8,207.923.9554,2539.83,Segment_C,Long television him.
53,Douglas Barnett,"202 Montoya Neck Suite 235
Allenmouth, MA 01378",1,(975)524-5072,2198.04,Segment_A,Record fall create national south decade agree.
54,James Taylor,"Unit 1084 Box 2130
DPO AA 90904",19,001-264-280-8266x037,8445.29,Segment_B,Really color will get study find hard.
